,songid,week_position,year,performer,song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2699,Money On YouChris Blue,66,2017,Chris Blue,Money On You,[],35ap6ekPdkGkiUkWfWhZB4,,The Complete Season 12 Collection (The Voice Performance),False,194663.0,26.0,0.629,0.723,0.0,-5.9879999999999995,True,0.0433,0.0207,0.0,0.188,0.514,101.016,4.0
2700,Money To BlowBirdman Featuring Lil Wayne & Drake,26,2010,Birdman Featuring Lil Wayne & Drake,Money To Blow,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",4gaz3uvhKgO078XcdzyPsl,,Pricele$$,True,258586.0,57.0,0.7090000000000001,0.562,6.0,-8.707,True,0.0675,0.0103,0.0,0.34700000000000003,0.6629999999999999,133.023,4.0
2701,MonopolyAriana Grande & Victoria Monet,69,2019,Ariana Grande & Victoria Monet,Monopoly,"['dance pop', 'pop', 'post-teen pop']",6tsOcBnaKgzK22yEiqRh8P,,MONOPOLY,True,158586.0,74.0,0.892,0.507,0.0,-8.282,True,0.37799999999999995,0.7040000000000001,3.14e-05,0.109,0.695,143.96,4.0
2702,Monster21 Savage,73,2019,21 Savage,Monster,"['atl hip hop', 'pop rap', 'rap', 'trap']",2FUNBaa5DwItJtYEBgAblU,https://p.scdn.co/mp3-preview/77673ecb9ddb7745608b96d83543d39e8481c996?cid=b8d3901151d34489a160e3cf0ab1fa94,i am > i was,True,233039.0,74.0,0.89,0.607,9.0,-6.916,False,0.124,0.158,0.00022799999999999999,0.11800000000000001,0.22399999999999998,134.02200000000002,4.0
2703,MonsterImagine Dragons,78,2013,Imagine Dragons,Monster,['modern rock'],2Xaw1RrXP3mdooKWysuRJ8,,Smoke + Mirrors (Deluxe),False,249493.0,63.0,0.47200000000000003,0.774,3.0,-5.382999999999999,True,0.0824,0.16699999999999998,0.000278,0.132,0.44299999999999995,179.942,4.0
2704,"MonsterKanye West Featuring Jay-Z, Rick Ross, Bon Iver & Nicki Minaj",18,2010,"Kanye West Featuring Jay-Z, Rick Ross, Bon Iver & Nicki Minaj",Monster,"['chicago rap', 'rap']",1ZHYJ2Wwgxes4m8Ba88PeK,,My Beautiful Dark Twisted Fantasy,True,378893.0,73.0,0.628,0.6920000000000001,2.0,-5.64,True,0.20199999999999999,0.00244,0.013000000000000001,0.6679999999999999,0.0964,124.791,5.0
2705,MonsterMeek Mill,96,2015,Meek Mill,Monster,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",37EDnGj3yFe5Hs4Zk3s3YF,https://p.scdn.co/mp3-preview/382b8593601a755445619aabd68ebd535834b90d?cid=b8d3901151d34489a160e3cf0ab1fa94,Monster,True,170882.0,55.0,0.67,0.75,11.0,-4.954,True,0.205,0.0103,0.0,0.33799999999999997,0.529,94.405,4.0
2706,MonsterParamore,36,2011,Paramore,Monster,"['candy pop', 'emo', 'pixie', 'pop emo', 'pop punk']",04BSvYghzdxjSJNpee36er,https://p.scdn.co/mp3-preview/528f5ac9c34ac5fa89f0305e2986015a39c87bae?cid=b8d3901151d34489a160e3cf0ab1fa94,Monster,False,198762.0,60.0,0.413,0.9690000000000001,4.0,-2.5989999999999998,False,0.11900000000000001,2.8699999999999996e-05,0.000753,0.371,0.374,164.99900000000002,4.0
2707,"Mood 4 EvaBeyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare",90,2019,"Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare",Mood 4 Eva,"['dance pop', 'pop', 'pop rap', 'r&b']",7oqftogUN82Q7VNy2TmTJW,https://p.scdn.co/mp3-preview/2b31e58664fd1dfa83d765063b06fafc51b2c143?cid=b8d3901151d34489a160e3cf0ab1fa94,The Lion King: The Gift,False,272068.0,65.0,0.608,0.7090000000000001,7.0,-6.175,True,0.374,0.11900000000000001,0.0,0.337,0.7090000000000001,105.742,4.0
2708,Mood SwingsA Boogie Wit da Hoodie,76,2019,A Boogie Wit da Hoodie,Mood Swings,"['melodic rap', 'pop rap', 'rap', 'trap']",2xE16muNCmhZwSOv3i1d1H,https://p.scdn.co/mp3-preview/6624c5f2bd5d29d8ed40b4b65ec97ffc178480f3?cid=b8d3901151d34489a160e3cf0ab1fa94,Mood Swings,True,156893.0,77.0,0.943,0.664,4.0,-5.952000000000001,False,0.106,0.235,5.84e-06,0.11199999999999999,0.93,120.051,4.0
